unitid,FIPS,county_name,city,state,zip,latitude,longitude,date,week,admission_rate,number_students,TotalCount,TotalCountWeekly,TotalConfirmedPositive,TotalConfirmedPositiveWeekly,TotalPositivityRate,TotalPositivityRateWeekly
110662,6037,Los Angeles County,Los Angeles,CA,90095-1405,34.068892,-118.443901,25oct2020,3162,.1404,31568,96287,3178,3329,76,3.457372230934602,2.391441157960982
110662,6037,Los Angeles County,Los Angeles,CA,90095-1405,34.068892,-118.443901,01nov2020,3163,.1404,31568,99460,3173,3433,104,3.45163884978886,3.277655215884021
110662,6037,Los Angeles County,Los Angeles,CA,90095-1405,34.068892,-118.443901,08nov2020,3164,.1404,31568,102517,3057,3574,141,3.486251060799672,4.612365063788027
110662,6037,Los Angeles County,Los Angeles,CA,90095-1405,34.068892,-118.443901,15nov2020,3165,.1404,31568,105157,2640,3688,114,3.507136947611667,4.318181818181818
110680,6073,San Diego County,La Jolla,CA,92093,32.877749,-117.235866,13sep2020,3156,.3006,30279,7200,3500,81,50,1.125,1.428571428571429
110680,6073,San Diego County,La Jolla,CA,92093,32.877749,-117.235866,20sep2020,3157,.3006,30279,28250,21050,138,57,.4884955752212389,.2707838479809976
110680,6073,San Diego County,La Jolla,CA,92093,32.877749,-117.235866,27sep2020,3158,.3006,30279,30000,1750,142,4,.4733333333333333,.2285714285714286
110680,6073,San Diego County,La Jolla,CA,92093,32.877749,-117.235866,04oct2020,3159,.3006,30279,33106,3106,148,6,.4470488733160152,.1931745009658725
110680,6073,San Diego County,La Jolla,CA,92093,32.877749,-117.235866,11oct2020,3160,.3006,30279,34487,1381,150,2,.4349465015803056,.1448225923244026
110680,6073,San Diego County,La Jolla,CA,92093,32.877749,-117.235866,18oct2020,3161,.3006,30279,39292,4805,157,7,.399572432047236,.145681581685744
110680,6073,San Diego County,La Jolla,CA,92093,32.877749,-117.235866,25oct2020,3162,.3006,30279,45347,6055,168,11,.370476547511412,.1816680429397192
110680,6073,San Diego County,La Jolla,CA,92093,32.877749,-117.235866,01nov2020,3163,.3006,30279,53908,8561,177,9,.3283371670253024,.1051279056185025
110680,6073,San Diego County,La Jolla,CA,92093,32.877749,-117.235866,08nov2020,3164,.3006,30279,60852,6944,192,15,.3155196213764544,.2160138248847926
110680,6073,San Diego County,La Jolla,CA,92093,32.877749,-117.235866,15nov2020,3165,.3006,30279,68315,7463,205,13,.3000805094049623,.1741926839072759
126614,8013,Boulder County,Boulder,CO,80309-0017,40.008781,-105.270823,13sep2020,3156,.8154,29753,12604,4706,220,171,1.745477626150429,3.633659158521037
126614,8013,Boulder County,Boulder,CO,80309-0017,40.008781,-105.270823,20sep2020,3157,.8154,29753,18830,6226,777,537,4.12639405204461,8.625120462576293
126614,8013,Boulder County,Boulder,CO,80309-0017,40.008781,-105.270823,27sep2020,3158,.8154,29753,24088,5258,985,208,4.089173032215212,3.95587675922404
126614,8013,Boulder County,Boulder,CO,80309-0017,40.008781,-105.270823,04oct2020,3159,.8154,29753,28472,4384,1046,61,3.673784771003091,1.391423357664234
126614,8013,Boulder County,Boulder,CO,80309-0017,40.008781,-105.270823,11oct2020,3160,.8154,29753,32648,4176,1060,14,3.246753246753246,.3352490421455939
126614,8013,Boulder County,Boulder,CO,80309-0017,40.008781,-105.270823,18oct2020,3161,.8154,29753,37077,4429,1067,7,2.877794859346765,.1580492210431249
126614,8013,Boulder County,Boulder,CO,80309-0017,40.008781,-105.270823,25oct2020,3162,.8154,29753,41263,4186,1082,15,2.622203911494559,.358337314859054
126614,8013,Boulder County,Boulder,CO,80309-0017,40.008781,-105.270823,01nov2020,3163,.8154,29753,45352,4089,1097,15,2.418856941259481,.3668378576669112
126614,8013,Boulder County,Boulder,CO,80309-0017,40.008781,-105.270823,08nov2020,3164,.8154,29753,50250,4898,1201,104,2.390049751243781,2.123315639036341
126614,8013,Boulder County,Boulder,CO,80309-0017,40.008781,-105.270823,15nov2020,3165,.8154,29753,55130,4880,1269,68,2.301832033375657,1.39344262295082
126942,8031,Denver County,Denver,CO,80204-2026,39.741413,-105.001044,13sep2020,3156,.673,6738,602,300,2,0,.3322259136212625,0
126942,8031,Denver County,Denver,CO,80204-2026,39.741413,-105.001044,20sep2020,3157,.673,6738,750,148,2,0,.2666666666666667,0
126942,8031,Denver County,Denver,CO,80204-2026,39.741413,-105.001044,27sep2020,3158,.673,6738,970,220,4,2,.4123711340206186,.9090909090909091
126942,8031,Denver County,Denver,CO,80204-2026,39.741413,-105.001044,04oct2020,3159,.673,6738,1100,130,6,2,.5454545454545455,1.538461538461539
